Rank,Title,Director,Actors
251,Bonjour Anne,Eleanor Coppola,"Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch"
252,Kynodontas,Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis"
253,Straight Outta Compton,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr."
254,The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti"
255,The Conjuring,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor"
256,The Hangover,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms"
257,Battleship,Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna"
258,Rise of the Planet of the Apes,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval"
259,Lights Out,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke"
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg"
261,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough"
262,Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder"
263,Dear White People,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris"
264,Nymphomaniac: Vol. I,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf"
265,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"Megan Fox, Will Arnett, Tyler Perry, Laura Linney"
266,Knock Knock,Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns"
267,Dirty Grandpa,Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza"
268,Cloud Atlas,Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
269,X-Men Origins: Wolverine,Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston"
270,Satanic,Jeffrey G. Hunt,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet"
271,Skyfall,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench"
272,The Hobbit: An Unexpected Journey,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis"
273,21 Jump Street,Phil Lord,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson"
274,Sing Street,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor"
275,Ballerina,Eric Summer,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler"
276,Oblivion,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko"
277,22 Jump Street,Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman"
278,Zodiac,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards"
279,Everybody Wants Some!!,Richard Linklater,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch"
280,Iron Man Three,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle"
281,Now You See Me,Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson"
282,Sherlock Holmes,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
283,Death Proof,Quentin Tarantino,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito"
284,The Danish Girl,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw"
285,Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes"
286,Sucker Punch,Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone"
287,Keeping Up with the Joneses,Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot"
288,Jupiter Ascending,Lana Wachowski,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean"
289,Masterminds,Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball"
290,Iris,Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin"
291,Busanhaeng,Sang-ho Yeon,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma"
292,Pitch Perfect,Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
293,Neighbors 2: Sorority Rising,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz"
294,The Exception,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk"
295,Man of Steel,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane"
296,The Choice,Ross Katz,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace"
297,Ice Age: Collision Course,Mike Thurmeier,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge"
298,The Devil Wears Prada,David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt"
299,The Infiltrator,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan"
300,There Will Be Blood,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer"
301,The Equalizer,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
302,Lone Survivor,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster"
303,The Cabin in the Woods,Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz"
304,The House Bunny,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings"
305,She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel"
306,Inherent Vice,Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston"
307,Alice Through the Looking Glass,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway"
308,Vincent N Roxxy,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen"
309,The Fast and the Furious: Tokyo Drift,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette"
310,How to Be Single,Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie"
311,The Blind Side,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head"
312,La vie d'Adèle,Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing"
313,The Babadook,Jennifer Kent,"Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney"
314,The Hobbit: The Battle of the Five Armies,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett"
315,Harry Potter and the Order of the Phoenix,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson"
316,Snowpiercer,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
317,The 5th Wave,J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders"
318,The Stakelander,Dan Berk,"Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson"
319,The Visit,M. Night Shyamalan,"Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie"
320,Fast Five,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster"
321,Step Up,Anne Fletcher,"Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington"
322,Lovesong,So Yong Kim,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga"
323,RocknRolla,Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton"
324,In Time,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde"
325,The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara"
326,The Last Witch Hunter,Breck Eisner,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson"
327,Victor Frankenstein,Paul McGuigan,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott"
328,A Street Cat Named Bob,Roger Spottiswoode,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt"
329,Green Room,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart"
330,Blackhat,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang"
331,Storks,Nicholas Stoller,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston"
332,American Sniper,Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis"
333,Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn"
334,Lincoln,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt"
335,Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara"
336,Before I Wake,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish"
337,Silver Linings Playbook,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver"
338,Tracktown,Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley"
339,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
340,Blended,Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
341,Fast & Furious,Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
342,Looper,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano"
343,White House Down,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke"
344,Pete's Dragon,David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence"
345,Spider-Man 3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church"
346,The Three Musketeers,Paul W.S. Anderson,"Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich"
347,Stardust,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen"
348,American Hustle,David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence"
349,Jennifer's Body,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons"
350,Midnight in Paris,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
351,Lady Macbeth,William Oldroyd,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie"
352,Joy,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez"
353,The Dressmaker,Jocelyn Moorhouse,"Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving"
354,Café Society,Woody Allen,"Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively"
355,Insurgent,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet"
356,Seventh Son,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander"
357,Demain tout commence,Hugo Gélin,"Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters"
358,The Theory of Everything,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry"
359,This Is the End,Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel"
360,About Time,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson"
361,Step Brothers,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins"
362,Clown,Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano"
363,Star Trek Into Darkness,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
364,Zombieland,Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin"
365,"Hail, Caesar!",Ethan Coen,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes"
366,Slumdog Millionaire,Danny Boyle,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor"
367,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli"
368,American Wrestler: The Wizard,Alex Ranarivelo,"William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso"
369,The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan"
370,Ben-Hur,Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi"
371,Sleight,J.D. Dillard,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid"
372,The Maze Runner,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
373,Criminal,Ariel Vromen,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman"
374,Wanted,Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp"
375,Florence Foster Jenkins,Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson"
376,Collide,Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley"
377,Black Mass,Scott Cooper,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton"
378,Creed,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
379,Swiss Army Man,Dan Kwan,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero"
380,The Expendables 3,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas"
381,What We Do in the Shadows,Jemaine Clement,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh"
382,Southpaw,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker"
383,Hush,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan"
384,Bridge of Spies,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan"
385,The Lego Movie,Phil Lord,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett"
386,Everest,Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson"
387,Pixels,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage"
388,Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow"
389,The Wolverine,James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima"
390,John Carter,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton"
391,Keanu,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man"
392,The Gunman,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem"
393,Steve Jobs,Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels"
394,Whisky Galore,Gillies MacKinnon,"Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo"
395,Grown Ups 2,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade"
396,The Age of Adaline,Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker"
397,The Incredible Hulk,Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt"
398,Couples Retreat,Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman"
399,Absolutely Anything,Terry Jones,"Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle"
400,Magic Mike,Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey"
401,Minions,Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin"
402,The Black Room,Rolfe Kanefsky,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain"
403,Bronson,Nicolas Winding Refn,"Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker"
404,Despicable Me,Pierre Coffin,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews"
405,The Best of Me,Michael Hoffman,"James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato"
406,The Invitation,Karyn Kusama,"Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard"
407,Zero Dark Thirty,Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong"
408,Tangled,Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman"
409,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
410,Vacation,John Francis Daley,"Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins"
411,Taken,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
412,Pitch Perfect 2,Elizabeth Banks,"Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow"
413,Monsters University,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren"
414,Elle,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling"
415,Mechanic: Resurrection,Dennis Gansel,"Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh"
416,Tusk,Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez"
417,The Headhunter's Calling,Mark Williams,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol"
418,Atonement,Joe Wright,"Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan"
419,Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy"
420,Shame,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters"
421,Hanna,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps"
422,The Babysitters,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo"
423,Pride and Prejudice and Zombies,Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote"
424,300: Rise of an Empire,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson"
425,London Has Fallen,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett"
426,The Curious Case of Benjamin Button,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond"
427,Sin City: A Dame to Kill For,Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt"
428,The Bourne Ultimatum,Paul Greengrass,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles"
429,Srpski film,Srdjan Spasojevic,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic"
430,The Purge: Election Year,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria"
431,3 Idiots,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
432,Zoolander 2,Ben Stiller,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell"
433,World War Z,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale"
434,Mission: Impossible - Ghost Protocol,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
435,Let Me Make You a Martyr,Corey Asraf,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera"
436,Filth,Jon S. Baird,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots"
437,The Longest Ride,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston"
438,The imposible,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast"
439,Kick-Ass 2,Jeff Wadlow,"Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey"
440,Folk Hero & Funny Guy,Jeff Grace,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey"
441,Oz the Great and Powerful,Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis"
442,Brooklyn,John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent"
443,Coraline,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders"
444,Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka"
445,The Thinning,Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy"
446,Silent Hill,Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger"
447,Dredd,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood"
448,Hunt for the Wilderpeople,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House"
449,Big Hero 6,Don Hall,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller"
450,Carrie,Kimberly Peirce,"Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday"
451,Iron Man 2,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle"
452,Demolition,Jean-Marc Vallée,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis"
453,Pandorum,Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue"
454,Olympus Has Fallen,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett"
455,I Am Number Four,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer"
456,Jagten,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
457,The Proposal,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson"
458,Get Hard,Etan Cohen,"Will Ferrell, Kevin Hart, Alison Brie, T.I."
459,Just Go with It,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman"
460,Revolutionary Road,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie"
461,The Town,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner"
462,The Boy,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton"
463,Denial,Mick Jackson,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott"
464,Predestination,Michael Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West"
465,Goosebumps,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee"
466,Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams"
467,Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski"
468,Enemy,Denis Villeneuve,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini"
469,District 9,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt"
470,The Other Guys,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes"
471,American Gangster,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin"
472,Marie Antoinette,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis"
473,2012,Roland Emmerich,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet"
474,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
475,Argo,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin"
476,Eddie the Eagle,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley"
477,The Lives of Others,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur"
478,Pet,Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald"
479,Paint It Black,Amber Tamblyn,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina"
480,Macbeth,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan"
481,Forgetting Sarah Marshall,Nicholas Stoller,"Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis"
482,The Giver,Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift"
483,Triple 9,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul"
484,Perfetti sconosciuti,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo"
485,Angry Birds,Clay Kaytis,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph"
486,Moonrise Kingdom,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray"
487,Hairspray,Adam Shankman,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer"
488,Safe Haven,Lasse Hallström,"Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons"
489,Focus,Glenn Ficarra,"Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez"
490,Ratatouille,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm"
491,Stake Land,Jim Mickle,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones"
492,The Book of Eli,Albert Hughes,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman"
493,Cloverfield,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller"
494,Point Break,Ericson Core,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer"
495,Under the Skin,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
496,I Am Legend,Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield"
497,Men in Black 3,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement"
498,Super 8,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney"
499,Law Abiding Citizen,F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney"
500,Up,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer"
